Country,Year,Value Column Name,Value
Hungary,All,Current Price,162
Hungary,All,Yield,1602
Hungary,2010,Current Price,40
Hungary,2010,Yield,252
Hungary,2011,Current Price,22
Hungary,2011,Yield,284
Hungary,2012,Current Price,29
Hungary,2012,Yield,359
Hungary,2013,Current Price,23
Hungary,2013,Yield,325
Hungary,2014,Current Price,23
Hungary,2014,Yield,188
Hungary,2015,Current Price,25
Hungary,2015,Yield,194
Slovakia,All,Current Price,181
Slovakia,All,Yield,1586
Slovakia,2010,Current Price,35
Slovakia,2010,Yield,287
Slovakia,2011,Current Price,39
Slovakia,2011,Yield,231
Slovakia,2012,Current Price,23
Slovakia,2012,Yield,263
Slovakia,2013,Current Price,35
Slovakia,2013,Yield,329
Slovakia,2014,Current Price,25
Slovakia,2014,Yield,250
Slovakia,2015,Current Price,24
Slovakia,2015,Yield,226
Portugal,All,Current Price,206
Portugal,All,Yield,1821
Portugal,2010,Current Price,27
Portugal,2010,Yield,382
Portugal,2011,Current Price,38
Portugal,2011,Yield,254
Portugal,2012,Current Price,40
Portugal,2012,Yield,227
Portugal,2013,Current Price,25
Portugal,2013,Yield,288
Portugal,2014,Current Price,39
Portugal,2014,Yield,355
Portugal,2015,Current Price,37
Portugal,2015,Yield,315
Lithuania,All,Current Price,168
Lithuania,All,Yield,2019
Lithuania,2010,Current Price,25
Lithuania,2010,Yield,235
Lithuania,2011,Current Price,26
Lithuania,2011,Yield,388
Lithuania,2012,Current Price,20
Lithuania,2012,Yield,367
Lithuania,2013,Current Price,38
Lithuania,2013,Yield,289
Lithuania,2014,Current Price,25
Lithuania,2014,Yield,353
Lithuania,2015,Current Price,34
Lithuania,2015,Yield,387
Romania,All,Current Price,168
Romania,All,Yield,1878
Romania,2010,Current Price,38
Romania,2010,Yield,386
Romania,2011,Current Price,24
Romania,2011,Yield,384
Romania,2012,Current Price,24
Romania,2012,Yield,352
Romania,2013,Current Price,27
Romania,2013,Yield,289
Romania,2014,Current Price,32
Romania,2014,Yield,242
Romania,2015,Current Price,23
Romania,2015,Yield,225
Bulgaria,All,Current Price,180
Bulgaria,All,Yield,2028
Bulgaria,2010,Current Price,29
Bulgaria,2010,Yield,306
Bulgaria,2011,Current Price,37
Bulgaria,2011,Yield,308
Bulgaria,2012,Current Price,36
Bulgaria,2012,Yield,344
Bulgaria,2013,Current Price,27
Bulgaria,2013,Yield,333
Bulgaria,2014,Current Price,22
Bulgaria,2014,Yield,367
Bulgaria,2015,Current Price,29
Bulgaria,2015,Yield,370
Latvia,All,Current Price,159
Latvia,All,Yield,1692
Latvia,2010,Current Price,29
Latvia,2010,Yield,318
Latvia,2011,Current Price,20
Latvia,2011,Yield,356
Latvia,2012,Current Price,33
Latvia,2012,Yield,209
Latvia,2013,Current Price,33
Latvia,2013,Yield,353
Latvia,2014,Current Price,21
Latvia,2014,Yield,200
Latvia,2015,Current Price,23
Latvia,2015,Yield,256
Italy,All,Current Price,174
Italy,All,Yield,1736
Italy,2010,Current Price,21
Italy,2010,Yield,386
Italy,2011,Current Price,30
Italy,2011,Yield,208
Italy,2012,Current Price,22
Italy,2012,Yield,390
Italy,2013,Current Price,38
Italy,2013,Yield,271
Italy,2014,Current Price,26
Italy,2014,Yield,200
Italy,2015,Current Price,37
Italy,2015,Yield,281
Croatia,All,Current Price,194
Croatia,All,Yield,1618
Croatia,2010,Current Price,40
Croatia,2010,Yield,279
Croatia,2011,Current Price,40
Croatia,2011,Yield,363
Croatia,2012,Current Price,26
Croatia,2012,Yield,234
Croatia,2013,Current Price,34
Croatia,2013,Yield,230
Croatia,2014,Current Price,22
Croatia,2014,Yield,244
Croatia,2015,Current Price,32
Croatia,2015,Yield,268
