Region,Country,Month,Value Column Name,Value
Europe,Other,October,AC In  millions - PY in millions,1531000
Europe,Other,October,(AC In  millions - PY in millions)%,0.820911528
Europe,Other,November,PY in millions,502000
Europe,Other,November,AC In  millions,545000
Europe,Other,November,AC In  millions - PY in millions,43000
Europe,Other,November,(AC In  millions - PY in millions)%,0.085657371
Americas,All,January,PY in millions,
Americas,All,January,AC In  millions,
Americas,All,January,AC In  millions - PY in millions,
Americas,All,January,(AC In  millions - PY in millions)%,
Americas,All,October,PY in millions,
Americas,All,October,AC In  millions,
Americas,All,October,AC In  millions - PY in millions,
Americas,All,October,(AC In  millions - PY in millions)%,
Americas,All,November,PY in millions,
Americas,All,November,AC In  millions,
Americas,All,November,AC In  millions - PY in millions,
Americas,All,November,(AC In  millions - PY in millions)%,
Americas,Brazil,January,PY in millions,686000
Americas,Brazil,January,AC In  millions,593000
Americas,Brazil,January,AC In  millions - PY in millions,-93000
Americas,Brazil,January,(AC In  millions - PY in millions)%,-0.135568513
Americas,Brazil,October,PY in millions,400000
Americas,Brazil,October,AC In  millions,600000
Americas,Brazil,October,AC In  millions - PY in millions,200000
Americas,Brazil,October,(AC In  millions - PY in millions)%,0.5
Americas,Brazil,November,PY in millions,119000
Americas,Brazil,November,AC In  millions,121000
Americas,Brazil,November,AC In  millions - PY in millions,2000
Americas,Brazil,November,(AC In  millions - PY in millions)%,0.016806723
Americas,Canada,January,PY in millions,200000
Americas,Canada,January,AC In  millions,359000
Americas,Canada,January,AC In  millions - PY in millions,159000
Americas,Canada,January,(AC In  millions - PY in millions)%,0.795
Americas,Canada,October,PY in millions,364000
Americas,Canada,October,AC In  millions,300000
Americas,Canada,October,AC In  millions - PY in millions,-64000
Americas,Canada,October,(AC In  millions - PY in millions)%,-0.175824176
Americas,Canada,November,PY in millions,65000
Americas,Canada,November,AC In  millions,59000
Americas,Canada,November,AC In  millions - PY in millions,-6000
Americas,Canada,November,(AC In  millions - PY in millions)%,-0.092307692
Americas,USA,January,PY in millions,1500000
Americas,USA,January,AC In  millions,1928000
Americas,USA,January,AC In  millions - PY in millions,428000
Americas,USA,January,(AC In  millions - PY in millions)%,0.285333333
Americas,USA,October,PY in millions,1560000
Americas,USA,October,AC In  millions,1000000
Americas,USA,October,AC In  millions - PY in millions,-560000
Americas,USA,October,(AC In  millions - PY in millions)%,-0.358974359
Americas,USA,November,PY in millions,346000
Americas,USA,November,AC In  millions,311000
Americas,USA,November,AC In  millions - PY in millions,-35000
Americas,USA,November,(AC In  millions - PY in millions)%,-0.101156069
Americas,Other,January,PY in millions,1293000
Americas,Other,January,AC In  millions,2009000
Americas,Other,January,AC In  millions - PY in millions,716000
Americas,Other,January,(AC In  millions - PY in millions)%,0.553750967
Americas,Other,October,PY in millions,2435000
Americas,Other,October,AC In  millions,1600000
Americas,Other,October,AC In  millions - PY in millions,-835000
Americas,Other,October,(AC In  millions - PY in millions)%,-0.342915811
Americas,Other,November,PY in millions,438000
Americas,Other,November,AC In  millions,399000
Americas,Other,November,AC In  millions - PY in millions,-39000
Americas,Other,November,(AC In  millions - PY in millions)%,-0.089041096
Rest of the world,All,January,PY in millions,
Rest of the world,All,January,AC In  millions,
Rest of the world,All,January,AC In  millions - PY in millions,
Rest of the world,All,January,(AC In  millions - PY in millions)%,
Rest of the world,All,October,PY in millions,
Rest of the world,All,October,AC In  millions,
Rest of the world,All,October,AC In  millions - PY in millions,
Rest of the world,All,October,(AC In  millions - PY in millions)%,
Rest of the world,All,November,PY in millions,
Rest of the world,All,November,AC In  millions,
Rest of the world,All,November,AC In  millions - PY in millions,
Rest of the world,All,November,(AC In  millions - PY in millions)%,
Rest of the world,Australia,January,PY in millions,313000
Rest of the world,Australia,January,AC In  millions,226000
Rest of the world,Australia,January,AC In  millions - PY in millions,-87000
Rest of the world,Australia,January,(AC In  millions - PY in millions)%,-0.277955272
Rest of the world,Australia,October,PY in millions,150000
Rest of the world,Australia,October,AC In  millions,300000
Rest of the world,Australia,October,AC In  millions - PY in millions,150000
Rest of the world,Australia,October,(AC In  millions - PY in millions)%,1
Rest of the world,Australia,November,PY in millions,54000
Rest of the world,Australia,November,AC In  millions,62000
Rest of the world,Australia,November,AC In  millions - PY in millions,8000
Rest of the world,Australia,November,(AC In  millions - PY in millions)%,0.148148148
Rest of the world,China,January,PY in millions,868000
Rest of the world,China,January,AC In  millions,268000
Rest of the world,China,January,AC In  millions - PY in millions,-600000
Rest of the world,China,January,(AC In  millions - PY in millions)%,-0.69124424
Rest of the world,China,October,PY in millions,973000
Rest of the world,China,October,AC In  millions,1900000
Rest of the world,China,October,AC In  millions - PY in millions,927000
Rest of the world,China,October,(AC In  millions - PY in millions)%,0.952723535
Rest of the world,China,November,PY in millions,266000
Rest of the world,China,November,AC In  millions,231000
Rest of the world,China,November,AC In  millions - PY in millions,-35000
Rest of the world,China,November,(AC In  millions - PY in millions)%,-0.131578947
Rest of the world,Japan,January,PY in millions,29000
Rest of the world,Japan,January,AC In  millions,79000
Rest of the world,Japan,January,AC In  millions - PY in millions,50000
Rest of the world,Japan,January,(AC In  millions - PY in millions)%,1.724137931
Rest of the world,Japan,October,PY in millions,29000
Rest of the world,Japan,October,AC In  millions,54000
Rest of the world,Japan,October,AC In  millions - PY in millions,25000
Rest of the world,Japan,October,(AC In  millions - PY in millions)%,0.862068966
Rest of the world,Japan,November,PY in millions,9000
Rest of the world,Japan,November,AC In  millions,11000
Rest of the world,Japan,November,AC In  millions - PY in millions,2000
Rest of the world,Japan,November,(AC In  millions - PY in millions)%,0.222222222
Rest of the world,Other,January,PY in millions,224000
Rest of the world,Other,January,AC In  millions,1100000
Rest of the world,Other,January,AC In  millions - PY in millions,876000
Rest of the world,Other,January,(AC In  millions - PY in millions)%,3.910714286
Rest of the world,Other,October,PY in millions,1893000
Rest of the world,Other,October,AC In  millions,790000
Rest of the world,Other,October,AC In  millions - PY in millions,-1103000
Rest of the world,Other,October,(AC In  millions - PY in millions)%,-0.582673006
Rest of the world,Other,November,PY in millions,234000
Rest of the world,Other,November,AC In  millions,255000
Rest of the world,Other,November,AC In  millions - PY in millions,21000
Rest of the world,Other,November,(AC In  millions - PY in millions)%,0.08974359
