Account Level 2,Year,Value Column Name,Value
Support revenue,2013,(AC - FC)%,
Support revenue,2013,FC - PL,-132
Support revenue,2013,(FC - PL)%,-1
Support revenue,2014,PL,87
Support revenue,2014,FC,
Support revenue,2014,AC,90
Support revenue,2014,AC - PL,3
Support revenue,2014,(AC - PL)%,0.034482759
Support revenue,2014,AC - FC,90
Support revenue,2014,(AC - FC)%,
Support revenue,2014,FC - PL,-87
Support revenue,2014,(FC - PL)%,-1
Support revenue,2015,PL,140
Support revenue,2015,FC,131
Support revenue,2015,AC,
Support revenue,2015,AC - PL,-140
Support revenue,2015,(AC - PL)%,-1
Support revenue,2015,AC - FC,-131
Support revenue,2015,(AC - FC)%,-1
Support revenue,2015,FC - PL,-9
Support revenue,2015,(FC - PL)%,-0.064285714
Consulting revenue,2012,PL,145
Consulting revenue,2012,FC,
Consulting revenue,2012,AC,121
Consulting revenue,2012,AC - PL,-24
Consulting revenue,2012,(AC - PL)%,-0.165517241
Consulting revenue,2012,AC - FC,121
Consulting revenue,2012,(AC - FC)%,
Consulting revenue,2012,FC - PL,-145
Consulting revenue,2012,(FC - PL)%,-1
Consulting revenue,2013,PL,231
Consulting revenue,2013,FC,
Consulting revenue,2013,AC,121
Consulting revenue,2013,AC - PL,-110
Consulting revenue,2013,(AC - PL)%,-0.476190476
Consulting revenue,2013,AC - FC,121
Consulting revenue,2013,(AC - FC)%,
Consulting revenue,2013,FC - PL,-231
Consulting revenue,2013,(FC - PL)%,-1
Consulting revenue,2014,PL,122
Consulting revenue,2014,FC,
Consulting revenue,2014,AC,128
Consulting revenue,2014,AC - PL,6
Consulting revenue,2014,(AC - PL)%,0.049180328
Consulting revenue,2014,AC - FC,128
Consulting revenue,2014,(AC - FC)%,
Consulting revenue,2014,FC - PL,-122
Consulting revenue,2014,(FC - PL)%,-1
Consulting revenue,2015,PL,199
Consulting revenue,2015,FC,213
Consulting revenue,2015,AC,
Consulting revenue,2015,AC - PL,-199
Consulting revenue,2015,(AC - PL)%,-1
Consulting revenue,2015,AC - FC,-213
Consulting revenue,2015,(AC - FC)%,-1
Consulting revenue,2015,FC - PL,14
Consulting revenue,2015,(FC - PL)%,0.070351759
Revenue,2012,PL,711
Revenue,2012,FC,0
Revenue,2012,AC,661
Revenue,2012,AC - PL,-50
Revenue,2012,(AC - PL)%,-0.070323488
Revenue,2012,AC - FC,661
Revenue,2012,(AC - FC)%,
Revenue,2012,FC - PL,-711
Revenue,2012,(FC - PL)%,-1
Revenue,2013,PL,906
Revenue,2013,FC,0
Revenue,2013,AC,473
Revenue,2013,AC - PL,-433
Revenue,2013,(AC - PL)%,-0.477924945
Revenue,2013,AC - FC,473
Revenue,2013,(AC - FC)%,
Revenue,2013,FC - PL,-906
Revenue,2013,(FC - PL)%,-1
Revenue,2014,PL,482
Revenue,2014,FC,0
Revenue,2014,AC,496
Revenue,2014,AC - PL,14
Revenue,2014,(AC - PL)%,0.029045643
Revenue,2014,AC - FC,496
Revenue,2014,(AC - FC)%,
Revenue,2014,FC - PL,-482
Revenue,2014,(FC - PL)%,-1
Revenue,2015,PL,900
Revenue,2015,FC,904
Revenue,2015,AC,0
Revenue,2015,AC - PL,-900
Revenue,2015,(AC - PL)%,-1
Revenue,2015,AC - FC,-904
Revenue,2015,(AC - FC)%,-1
Revenue,2015,FC - PL,4
Revenue,2015,(FC - PL)%,0.004444444
Cost of sales,2012,PL,-282
Cost of sales,2012,FC,
Cost of sales,2012,AC,-231
Cost of sales,2012,AC - PL,51
Cost of sales,2012,(AC - PL)%,0.180851064
Cost of sales,2012,AC - FC,-231
Cost of sales,2012,(AC - FC)%,
Cost of sales,2012,FC - PL,282
Cost of sales,2012,(FC - PL)%,1
Cost of sales,2013,PL,-199
Cost of sales,2013,FC,
Cost of sales,2013,AC,-122
Cost of sales,2013,AC - PL,77
Cost of sales,2013,(AC - PL)%,0.386934673
Cost of sales,2013,AC - FC,-122
Cost of sales,2013,(AC - FC)%,
Cost of sales,2013,FC - PL,199
Cost of sales,2013,(FC - PL)%,1
Cost of sales,2014,PL,-138
Cost of sales,2014,FC,
Cost of sales,2014,AC,-128
Cost of sales,2014,AC - PL,10
Cost of sales,2014,(AC - PL)%,0.072463768
Cost of sales,2014,AC - FC,-128
Cost of sales,2014,(AC - FC)%,
Cost of sales,2014,FC - PL,138
Cost of sales,2014,(FC - PL)%,1
Cost of sales,2015,PL,-221
Cost of sales,2015,FC,-223
Cost of sales,2015,AC,
Cost of sales,2015,AC - PL,221
Cost of sales,2015,(AC - PL)%,1
Cost of sales,2015,AC - FC,223
Cost of sales,2015,(AC - FC)%,1
Cost of sales,2015,FC - PL,-2
Cost of sales,2015,(FC - PL)%,-0.009049774
Gross Profit,2012,PL,429
Gross Profit,2012,FC,0
Gross Profit,2012,AC,430
Gross Profit,2012,AC - PL,1
Gross Profit,2012,(AC - PL)%,0.002331002
Gross Profit,2012,AC - FC,430
Gross Profit,2012,(AC - FC)%,
Gross Profit,2012,FC - PL,-429
Gross Profit,2012,(FC - PL)%,-1
Gross Profit,2013,PL,707
Gross Profit,2013,FC,0
Gross Profit,2013,AC,351
Gross Profit,2013,AC - PL,-356
Gross Profit,2013,(AC - PL)%,-0.503536068
Gross Profit,2013,AC - FC,351
Gross Profit,2013,(AC - FC)%,
Gross Profit,2013,FC - PL,-707
Gross Profit,2013,(FC - PL)%,-1
Gross Profit,2014,PL,344
Gross Profit,2014,FC,0
Gross Profit,2014,AC,368
Gross Profit,2014,AC - PL,24
Gross Profit,2014,(AC - PL)%,0.069767442
Gross Profit,2014,AC - FC,368
Gross Profit,2014,(AC - FC)%,
Gross Profit,2014,FC - PL,-344
Gross Profit,2014,(FC - PL)%,-1
Gross Profit,2015,PL,679
Gross Profit,2015,FC,681
Gross Profit,2015,AC,0
Gross Profit,2015,AC - PL,-679
Gross Profit,2015,(AC - PL)%,-1
Gross Profit,2015,AC - FC,-681
Gross Profit,2015,(AC - FC)%,-1
Gross Profit,2015,FC - PL,2
Gross Profit,2015,(FC - PL)%,0.002945508
Research and development expenses,2012,PL,-79
Research and development expenses,2012,FC,
Research and development expenses,2012,AC,-78
Research and development expenses,2012,AC - PL,1
Research and development expenses,2012,(AC - PL)%,0.012658228
Research and development expenses,2012,AC - FC,-78
Research and development expenses,2012,(AC - FC)%,
Research and development expenses,2012,FC - PL,79
Research and development expenses,2012,(FC - PL)%,1
Research and development expenses,2013,PL,-91
Research and development expenses,2013,FC,
Research and development expenses,2013,AC,-78
Research and development expenses,2013,AC - PL,13
Research and development expenses,2013,(AC - PL)%,0.142857143
Research and development expenses,2013,AC - FC,-78
Research and development expenses,2013,(AC - FC)%,
Research and development expenses,2013,FC - PL,91
Research and development expenses,2013,(FC - PL)%,1
Research and development expenses,2014,PL,-98
Research and development expenses,2014,FC,
Research and development expenses,2014,AC,-104
Research and development expenses,2014,AC - PL,-6
Research and development expenses,2014,(AC - PL)%,-0.06122449
Research and development expenses,2014,AC - FC,-104
Research and development expenses,2014,(AC - FC)%,
Research and development expenses,2014,FC - PL,98
Research and development expenses,2014,(FC - PL)%,1
Research and development expenses,2015,PL,-123
Research and development expenses,2015,FC,-124
Research and development expenses,2015,AC,
Research and development expenses,2015,AC - PL,123
Research and development expenses,2015,(AC - PL)%,1
Research and development expenses,2015,AC - FC,124
Research and development expenses,2015,(AC - FC)%,1
Research and development expenses,2015,FC - PL,-1
Research and development expenses,2015,(FC - PL)%,-0.008130081
Selling and general administrative expenses,2012,PL,-34
Selling and general administrative expenses,2012,FC,
Selling and general administrative expenses,2012,AC,-45
Selling and general administrative expenses,2012,AC - PL,-11
Selling and general administrative expenses,2012,(AC - PL)%,-0.323529412
Selling and general administrative expenses,2012,AC - FC,-45
Selling and general administrative expenses,2012,(AC - FC)%,
Selling and general administrative expenses,2012,FC - PL,34
Selling and general administrative expenses,2012,(FC - PL)%,1
Selling and general administrative expenses,2013,PL,-41
Selling and general administrative expenses,2013,FC,
Selling and general administrative expenses,2013,AC,-97
Selling and general administrative expenses,2013,AC - PL,-56
Selling and general administrative expenses,2013,(AC - PL)%,-1.365853659
Selling and general administrative expenses,2013,AC - FC,-97
Selling and general administrative expenses,2013,(AC - FC)%,
Selling and general administrative expenses,2013,FC - PL,41
Selling and general administrative expenses,2013,(FC - PL)%,1
Selling and general administrative expenses,2014,PL,-79
Selling and general administrative expenses,2014,FC,
Selling and general administrative expenses,2014,AC,-102
Selling and general administrative expenses,2014,AC - PL,-23
Selling and general administrative expenses,2014,(AC - PL)%,-0.291139241
Selling and general administrative expenses,2014,AC - FC,-102
Selling and general administrative expenses,2014,(AC - FC)%,
Selling and general administrative expenses,2014,FC - PL,79
Selling and general administrative expenses,2014,(FC - PL)%,1
Selling and general administrative expenses,2015,PL,-44
Selling and general administrative expenses,2015,FC,-43
Selling and general administrative expenses,2015,AC,
Selling and general administrative expenses,2015,AC - PL,44
Selling and general administrative expenses,2015,(AC - PL)%,1
Selling and general administrative expenses,2015,AC - FC,43
Selling and general administrative expenses,2015,(AC - FC)%,1
Selling and general administrative expenses,2015,FC - PL,1
Selling and general administrative expenses,2015,(FC - PL)%,0.022727273
Other operating income,2012,PL,44
Other operating income,2012,FC,
Other operating income,2012,AC,22
Other operating income,2012,AC - PL,-22
Other operating income,2012,(AC - PL)%,-0.5
Other operating income,2012,AC - FC,22
Other operating income,2012,(AC - FC)%,
Other operating income,2012,FC - PL,-44
Other operating income,2012,(FC - PL)%,-1
Other operating income,2013,PL,45
Other operating income,2013,FC,
Other operating income,2013,AC,9
Other operating income,2013,AC - PL,-36
Other operating income,2013,(AC - PL)%,-0.8
Other operating income,2013,AC - FC,9
Other operating income,2013,(AC - FC)%,
Other operating income,2013,FC - PL,-45
Other operating income,2013,(FC - PL)%,-1
Other operating income,2014,PL,10
Other operating income,2014,FC,
Other operating income,2014,AC,11
Other operating income,2014,AC - PL,1
Other operating income,2014,(AC - PL)%,0.1
Other operating income,2014,AC - FC,11
Other operating income,2014,(AC - FC)%,
Other operating income,2014,FC - PL,-10
Other operating income,2014,(FC - PL)%,-1
Other operating income,2015,PL,67
Other operating income,2015,FC,61
Other operating income,2015,AC,
Other operating income,2015,AC - PL,-67
Other operating income,2015,(AC - PL)%,-1
Other operating income,2015,AC - FC,-61
Other operating income,2015,(AC - FC)%,-1
Other operating income,2015,FC - PL,-6
Other operating income,2015,(FC - PL)%,-0.089552239
Other operating expenses,2012,PL,-88
Other operating expenses,2012,FC,
Other operating expenses,2012,AC,-76
Other operating expenses,2012,AC - PL,12
Other operating expenses,2012,(AC - PL)%,0.136363636
Other operating expenses,2012,AC - FC,-76
Other operating expenses,2012,(AC - FC)%,
Other operating expenses,2012,FC - PL,88
Other operating expenses,2012,(FC - PL)%,1
Other operating expenses,2013,PL,-63
Other operating expenses,2013,FC,
Other operating expenses,2013,AC,-11
Other operating expenses,2013,AC - PL,52
Other operating expenses,2013,(AC - PL)%,0.825396825
Other operating expenses,2013,AC - FC,-11
Other operating expenses,2013,(AC - FC)%,
Other operating expenses,2013,FC - PL,63
Other operating expenses,2013,(FC - PL)%,1
Other operating expenses,2014,PL,-14
Other operating expenses,2014,FC,
Other operating expenses,2014,AC,-8
Other operating expenses,2014,AC - PL,6
Other operating expenses,2014,(AC - PL)%,0.428571429
Other operating expenses,2014,AC - FC,-8
Other operating expenses,2014,(AC - FC)%,
Other operating expenses,2014,FC - PL,14
Other operating expenses,2014,(FC - PL)%,1
Other operating expenses,2015,PL,-89
Other operating expenses,2015,FC,-85
Other operating expenses,2015,AC,
Other operating expenses,2015,AC - PL,89
Other operating expenses,2015,(AC - PL)%,1
Other operating expenses,2015,AC - FC,85
Other operating expenses,2015,(AC - FC)%,1
Other operating expenses,2015,FC - PL,4
Other operating expenses,2015,(FC - PL)%,0.04494382
"Other financial income,net",2012,PL,-55
"Other financial income,net",2012,FC,
"Other financial income,net",2012,AC,12
"Other financial income,net",2012,AC - PL,67
"Other financial income,net",2012,(AC - PL)%,-1.218181818
"Other financial income,net",2012,AC - FC,12
"Other financial income,net",2012,(AC - FC)%,
"Other financial income,net",2012,FC - PL,55
"Other financial income,net",2012,(FC - PL)%,-1
"Other financial income,net",2013,PL,-6
"Other financial income,net",2013,FC,
"Other financial income,net",2013,AC,3
"Other financial income,net",2013,AC - PL,9
"Other financial income,net",2013,(AC - PL)%,-1.5
"Other financial income,net",2013,AC - FC,3
"Other financial income,net",2013,(AC - FC)%,
"Other financial income,net",2013,FC - PL,6
"Other financial income,net",2013,(FC - PL)%,-1
"Other financial income,net",2014,PL,4
"Other financial income,net",2014,FC,
"Other financial income,net",2014,AC,5
"Other financial income,net",2014,AC - PL,1
"Other financial income,net",2014,(AC - PL)%,0.25
"Other financial income,net",2014,AC - FC,5
"Other financial income,net",2014,(AC - FC)%,
"Other financial income,net",2014,FC - PL,-4
"Other financial income,net",2014,(FC - PL)%,-1
"Other financial income,net",2015,PL,4
"Other financial income,net",2015,FC,-4
"Other financial income,net",2015,AC,
"Other financial income,net",2015,AC - PL,-4
"Other financial income,net",2015,(AC - PL)%,-1
"Other financial income,net",2015,AC - FC,4
"Other financial income,net",2015,(AC - FC)%,-1
"Other financial income,net",2015,FC - PL,-8
"Other financial income,net",2015,(FC - PL)%,-2
Income from continuing operations before tax,2012,PL,217
Income from continuing operations before tax,2012,FC,0
Income from continuing operations before tax,2012,AC,265
Income from continuing operations before tax,2012,AC - PL,48
Income from continuing operations before tax,2012,(AC - PL)%,0.221198157
Income from continuing operations before tax,2012,AC - FC,265
Income from continuing operations before tax,2012,(AC - FC)%,
Income from continuing operations before tax,2012,FC - PL,-217
Income from continuing operations before tax,2012,(FC - PL)%,-1
Income from continuing operations before tax,2013,PL,551
Income from continuing operations before tax,2013,FC,0
Income from continuing operations before tax,2013,AC,177
Income from continuing operations before tax,2013,AC - PL,-374
Income from continuing operations before tax,2013,(AC - PL)%,-0.67876588
Income from continuing operations before tax,2013,AC - FC,177
Income from continuing operations before tax,2013,(AC - FC)%,
Income from continuing operations before tax,2013,FC - PL,-551
Income from continuing operations before tax,2013,(FC - PL)%,-1
Income from continuing operations before tax,2014,PL,167
Income from continuing operations before tax,2014,FC,0
Income from continuing operations before tax,2014,AC,170
Income from continuing operations before tax,2014,AC - PL,3
Income from continuing operations before tax,2014,(AC - PL)%,0.017964072
Income from continuing operations before tax,2014,AC - FC,170
Income from continuing operations before tax,2014,(AC - FC)%,
Income from continuing operations before tax,2014,FC - PL,-167
Income from continuing operations before tax,2014,(FC - PL)%,-1
Income from continuing operations before tax,2015,PL,494
Income from continuing operations before tax,2015,FC,486
Income from continuing operations before tax,2015,AC,0
Income from continuing operations before tax,2015,AC - PL,-494
Income from continuing operations before tax,2015,(AC - PL)%,-1
Income from continuing operations before tax,2015,AC - FC,-486
Income from continuing operations before tax,2015,(AC - FC)%,-1
Income from continuing operations before tax,2015,FC - PL,-8
Income from continuing operations before tax,2015,(FC - PL)%,-0.016194332
Income tax expenses,2012,PL,-59
Income tax expenses,2012,FC,
Income tax expenses,2012,AC,-54
Income tax expenses,2012,AC - PL,5
Income tax expenses,2012,(AC - PL)%,0.084745763
Income tax expenses,2012,AC - FC,-54
Income tax expenses,2012,(AC - FC)%,
Income tax expenses,2012,FC - PL,59
Income tax expenses,2012,(FC - PL)%,1
Income tax expenses,2013,PL,-188
Income tax expenses,2013,FC,
Income tax expenses,2013,AC,-23
Income tax expenses,2013,AC - PL,165
Income tax expenses,2013,(AC - PL)%,0.877659574
Income tax expenses,2013,AC - FC,-23
Income tax expenses,2013,(AC - FC)%,
Income tax expenses,2013,FC - PL,188
Income tax expenses,2013,(FC - PL)%,1
Income tax expenses,2014,PL,-31
Income tax expenses,2014,FC,
Income tax expenses,2014,AC,-27
Income tax expenses,2014,AC - PL,4
Income tax expenses,2014,(AC - PL)%,0.129032258
Income tax expenses,2014,AC - FC,-27
Income tax expenses,2014,(AC - FC)%,
Income tax expenses,2014,FC - PL,31
Income tax expenses,2014,(FC - PL)%,1
Income tax expenses,2015,PL,-35
Income tax expenses,2015,FC,-31
Income tax expenses,2015,AC,
Income tax expenses,2015,AC - PL,35
Income tax expenses,2015,(AC - PL)%,1
Income tax expenses,2015,AC - FC,31
Income tax expenses,2015,(AC - FC)%,1
Income tax expenses,2015,FC - PL,4
Income tax expenses,2015,(FC - PL)%,0.114285714
Income from continuing operations,2012,PL,158
Income from continuing operations,2012,FC,0
Income from continuing operations,2012,AC,211
Income from continuing operations,2012,AC - PL,53
Income from continuing operations,2012,(AC - PL)%,0.335443038
Income from continuing operations,2012,AC - FC,211
Income from continuing operations,2012,(AC - FC)%,
Income from continuing operations,2012,FC - PL,-158
Income from continuing operations,2012,(FC - PL)%,-1
Income from continuing operations,2013,PL,363
Income from continuing operations,2013,FC,0
Income from continuing operations,2013,AC,154
Income from continuing operations,2013,AC - PL,-209
Income from continuing operations,2013,(AC - PL)%,-0.575757576
Income from continuing operations,2013,AC - FC,154
Income from continuing operations,2013,(AC - FC)%,
Income from continuing operations,2013,FC - PL,-363
Income from continuing operations,2013,(FC - PL)%,-1
Income from continuing operations,2014,PL,136
Income from continuing operations,2014,FC,0
Income from continuing operations,2014,AC,143
Income from continuing operations,2014,AC - PL,7
Income from continuing operations,2014,(AC - PL)%,0.051470588
Income from continuing operations,2014,AC - FC,143
Income from continuing operations,2014,(AC - FC)%,
Income from continuing operations,2014,FC - PL,-136
Income from continuing operations,2014,(FC - PL)%,-1
Income from continuing operations,2015,PL,459
Income from continuing operations,2015,FC,455
Income from continuing operations,2015,AC,0
Income from continuing operations,2015,AC - PL,-459
Income from continuing operations,2015,(AC - PL)%,-1
Income from continuing operations,2015,AC - FC,-455
Income from continuing operations,2015,(AC - FC)%,-1
Income from continuing operations,2015,FC - PL,-4
Income from continuing operations,2015,(FC - PL)%,-0.008714597
Income from discontinued operations,2012,PL,16
Income from discontinued operations,2012,FC,
Income from discontinued operations,2012,AC,6
Income from discontinued operations,2012,AC - PL,-10
Income from discontinued operations,2012,(AC - PL)%,-0.625
Income from discontinued operations,2012,AC - FC,6
Income from discontinued operations,2012,(AC - FC)%,
Income from discontinued operations,2012,FC - PL,-16
Income from discontinued operations,2012,(FC - PL)%,-1
Income from discontinued operations,2013,PL,1
Income from discontinued operations,2013,FC,
Income from discontinued operations,2013,AC,6
Income from discontinued operations,2013,AC - PL,5
Income from discontinued operations,2013,(AC - PL)%,5
Income from discontinued operations,2013,AC - FC,6
Income from discontinued operations,2013,(AC - FC)%,
Income from discontinued operations,2013,FC - PL,-1
Income from discontinued operations,2013,(FC - PL)%,-1
Income from discontinued operations,2014,PL,4
Income from discontinued operations,2014,FC,
Income from discontinued operations,2014,AC,8
Income from discontinued operations,2014,AC - PL,4
Income from discontinued operations,2014,(AC - PL)%,1
Income from discontinued operations,2014,AC - FC,8
Income from discontinued operations,2014,(AC - FC)%,
Income from discontinued operations,2014,FC - PL,-4
Income from discontinued operations,2014,(FC - PL)%,-1
Income from discontinued operations,2015,PL,72
Income from discontinued operations,2015,FC,74
Income from discontinued operations,2015,AC,
Income from discontinued operations,2015,AC - PL,-72
Income from discontinued operations,2015,(AC - PL)%,-1
Income from discontinued operations,2015,AC - FC,-74
Income from discontinued operations,2015,(AC - FC)%,-1
Income from discontinued operations,2015,FC - PL,2
Income from discontinued operations,2015,(FC - PL)%,0.027777778
Net Income,2012,PL,174
Net Income,2012,FC,0
Net Income,2012,AC,217
Net Income,2012,AC - PL,43
Net Income,2012,(AC - PL)%,0.247126437
Net Income,2012,AC - FC,217
Net Income,2012,(AC - FC)%,
Net Income,2012,FC - PL,-174
Net Income,2012,(FC - PL)%,-1
Net Income,2013,PL,364
Net Income,2013,FC,0
Net Income,2013,AC,160
Net Income,2013,AC - PL,-204
Net Income,2013,(AC - PL)%,-0.56043956
Net Income,2013,AC - FC,160
Net Income,2013,(AC - FC)%,
Net Income,2013,FC - PL,-364
Net Income,2013,(FC - PL)%,-1
Net Income,2014,PL,140
Net Income,2014,FC,0
Net Income,2014,AC,151
Net Income,2014,AC - PL,11
Net Income,2014,(AC - PL)%,0.078571429
Net Income,2014,AC - FC,151
Net Income,2014,(AC - FC)%,
Net Income,2014,FC - PL,-140
Net Income,2014,(FC - PL)%,-1
Net Income,2015,PL,531
Net Income,2015,FC,529
Net Income,2015,AC,0
Net Income,2015,AC - PL,-531
Net Income,2015,(AC - PL)%,-1
Net Income,2015,AC - FC,-529
Net Income,2015,(AC - FC)%,-1
Net Income,2015,FC - PL,-2
Net Income,2015,(FC - PL)%,-0.003766478
