Product Name,Product ID,Value Column Name,Value,,,,
"Global Stack Chair without Arms, Black",All,Profit/ (Loss),,,,,
"Global Stack Chair without Arms, Black",All,% Profit/ (Loss),,,,,
"Global Stack Chair without Arms, Black",FUR-CH-10002304,Quantity,14,,,,
"Global Stack Chair without Arms, Black",FUR-CH-10002304,Discount,0,,,,
"Global Stack Chair without Arms, Black",FUR-CH-10002304,Unit Price,18.186,,,,
"Global Stack Chair without Arms, Black",FUR-CH-10002304,Cost,272.49,,,,
"Global Stack Chair without Arms, Black",FUR-CH-10002304,Total Discount,0,,,,
"Global Stack Chair without Arms, Black",FUR-CH-10002304,Gross Sales,254.604,,,,
"Global Stack Chair without Arms, Black",FUR-CH-10002304,Sales,254.604,,,,
"Global Stack Chair without Arms, Black",FUR-CH-10002304,Profit/ (Loss),-17.886,,,,
"Global Stack Chair without Arms, Black",FUR-CH-10002304,% Profit/ (Loss),-0.070250271,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,All,Quantity,,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,All,Discount,,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,All,Unit Price,,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,All,Cost,,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,All,Total Discount,,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,All,Gross Sales,,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,All,Sales,,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,All,Profit/ (Loss),,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,All,% Profit/ (Loss),,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,TEC-AC-10004659,Quantity,14,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,TEC-AC-10004659,Discount,0,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,TEC-AC-10004659,Unit Price,58.392,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,TEC-AC-10004659,Cost,663.809,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,TEC-AC-10004659,Total Discount,0,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,TEC-AC-10004659,Gross Sales,817.488,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,TEC-AC-10004659,Sales,817.488,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,TEC-AC-10004659,Profit/ (Loss),153.679,,,,
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,TEC-AC-10004659,% Profit/ (Loss),0.187989304,,,,
Wilson Jones Easy Flow II Sheet Lifters,All,Quantity,,,,,
Wilson Jones Easy Flow II Sheet Lifters,All,Discount,,,,,
Wilson Jones Easy Flow II Sheet Lifters,All,Unit Price,,,,,
Wilson Jones Easy Flow II Sheet Lifters,All,Cost,,,,,
Wilson Jones Easy Flow II Sheet Lifters,All,Total Discount,,,,,
Wilson Jones Easy Flow II Sheet Lifters,All,Gross Sales,,,,,
Wilson Jones Easy Flow II Sheet Lifters,All,Sales,,,,,
Wilson Jones Easy Flow II Sheet Lifters,All,Profit/ (Loss),,,,,
Wilson Jones Easy Flow II Sheet Lifters,All,% Profit/ (Loss),,,,,
Wilson Jones Easy Flow II Sheet Lifters,OFF-BI-10002012,Quantity,14,,,,
Wilson Jones Easy Flow II Sheet Lifters,OFF-BI-10002012,Discount,2,,,,
Wilson Jones Easy Flow II Sheet Lifters,OFF-BI-10002012,Unit Price,2.36,,,,
Wilson Jones Easy Flow II Sheet Lifters,OFF-BI-10002012,Cost,11.504,,,,
Wilson Jones Easy Flow II Sheet Lifters,OFF-BI-10002012,Total Discount,28,,,,
Wilson Jones Easy Flow II Sheet Lifters,OFF-BI-10002012,Gross Sales,33.04,,,,
Wilson Jones Easy Flow II Sheet Lifters,OFF-BI-10002012,Sales,5.04,,,,
Wilson Jones Easy Flow II Sheet Lifters,OFF-BI-10002012,Profit/ (Loss),-6.464,,,,
Wilson Jones Easy Flow II Sheet Lifters,OFF-BI-10002012,% Profit/ (Loss),-1.282539683,,,,
Acco Hot Clips Clips to Go,All,Quantity,,,,,
Acco Hot Clips Clips to Go,All,Discount,,,,,
Acco Hot Clips Clips to Go,All,Unit Price,,,,,
Acco Hot Clips Clips to Go,All,Cost,,,,,
Acco Hot Clips Clips to Go,All,Total Discount,,,,,
Acco Hot Clips Clips to Go,All,Gross Sales,,,,,
Acco Hot Clips Clips to Go,All,Sales,,,,,
Acco Hot Clips Clips to Go,All,Profit/ (Loss),,,,,
Acco Hot Clips Clips to Go,All,% Profit/ (Loss),,,,,
Acco Hot Clips Clips to Go,OFF-FA-10000936,Quantity,13,,,,
Acco Hot Clips Clips to Go,OFF-FA-10000936,Discount,0,,,,
Acco Hot Clips Clips to Go,OFF-FA-10000936,Unit Price,2.632,,,,
Acco Hot Clips Clips to Go,OFF-FA-10000936,Cost,22.7235,,,,
Acco Hot Clips Clips to Go,OFF-FA-10000936,Total Discount,0,,,,
Acco Hot Clips Clips to Go,OFF-FA-10000936,Gross Sales,34.216,,,,
Acco Hot Clips Clips to Go,OFF-FA-10000936,Sales,34.216,,,,
Acco Hot Clips Clips to Go,OFF-FA-10000936,Profit/ (Loss),11.4925,,,,
Acco Hot Clips Clips to Go,OFF-FA-10000936,% Profit/ (Loss),0.335880874,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,All,Quantity,,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,All,Discount,,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,All,Unit Price,,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,All,Cost,,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,All,Total Discount,,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,All,Gross Sales,,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,All,Sales,,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,All,Profit/ (Loss),,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,All,% Profit/ (Loss),,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,OFF-BI-10001249,Quantity,13,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,OFF-BI-10001249,Discount,3,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,OFF-BI-10001249,Unit Price,4.276,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,OFF-BI-10001249,Cost,42.3876,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,OFF-BI-10001249,Total Discount,39,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,OFF-BI-10001249,Gross Sales,55.588,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,OFF-BI-10001249,Sales,16.588,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,OFF-BI-10001249,Profit/ (Loss),-25.7996,,,,
Avery Heavy-Duty EZD View Binder with Locking Rings,OFF-BI-10001249,% Profit/ (Loss),-1.555317097,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",All,Quantity,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",All,Discount,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",All,Unit Price,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",All,Cost,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",All,Total Discount,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",All,Gross Sales,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",All,Sales,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",All,Profit/ (Loss),,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",All,% Profit/ (Loss),,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",OFF-BI-10000309,Quantity,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",OFF-BI-10000309,Discount,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",OFF-BI-10000309,Unit Price,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",OFF-BI-10000309,Cost,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",OFF-BI-10000309,Total Discount,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",OFF-BI-10000309,Gross Sales,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",OFF-BI-10000309,Sales,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",OFF-BI-10000309,Profit/ (Loss),,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine"," Black""",OFF-BI-10000309,% Profit/ (Loss),,,,
"SlimView Poly Binder, 3/8"",All""",Quantity,,,,,,
"SlimView Poly Binder, 3/8"",All""",Discount,,,,,,
"SlimView Poly Binder, 3/8"",All""",Unit Price,,,,,,
"SlimView Poly Binder, 3/8"",All""",Cost,,,,,,
"SlimView Poly Binder, 3/8"",All""",Total Discount,,,,,,
"SlimView Poly Binder, 3/8"",All""",Gross Sales,,,,,,
"SlimView Poly Binder, 3/8"",All""",Sales,,,,,,
"SlimView Poly Binder, 3/8"",All""",Profit/ (Loss),,,,,,
"SlimView Poly Binder, 3/8"",All""",% Profit/ (Loss),,,,,,
"SlimView Poly Binder, 3/8"",OFF-BI-10002799""",Quantity,13,,,,,
"SlimView Poly Binder, 3/8"",OFF-BI-10002799""",Discount,1,,,,,
"SlimView Poly Binder, 3/8"",OFF-BI-10002799""",Unit Price,2.036,,,,,
"SlimView Poly Binder, 3/8"",OFF-BI-10002799""",Cost,35.5636,,,,,
"SlimView Poly Binder, 3/8"",OFF-BI-10002799""",Total Discount,13,,,,,
"SlimView Poly Binder, 3/8"",OFF-BI-10002799""",Gross Sales,26.468,,,,,
"SlimView Poly Binder, 3/8"",OFF-BI-10002799""",Sales,13.468,,,,,
"SlimView Poly Binder, 3/8"",OFF-BI-10002799""",Profit/ (Loss),-22.0956,,,,,
"SlimView Poly Binder, 3/8"",OFF-BI-10002799""",% Profit/ (Loss),-1.640599941,,,,,
Xerox 1951,All,Quantity,,,,,
Xerox 1951,All,Discount,,,,,
Xerox 1951,All,Unit Price,,,,,
Xerox 1951,All,Cost,,,,,
Xerox 1951,All,Total Discount,,,,,
Xerox 1951,All,Gross Sales,,,,,
Xerox 1951,All,Sales,,,,,
Xerox 1951,All,Profit/ (Loss),,,,,
Xerox 1951,All,% Profit/ (Loss),,,,,
Xerox 1951,OFF-PA-10002581,Quantity,13,,,,
Xerox 1951,OFF-PA-10002581,Discount,0,,,,
Xerox 1951,OFF-PA-10002581,Unit Price,24.784,,,,
Xerox 1951,OFF-PA-10002581,Cost,221.307,,,,
Xerox 1951,OFF-PA-10002581,Total Discount,0,,,,
Xerox 1951,OFF-PA-10002581,Gross Sales,322.192,,,,
Xerox 1951,OFF-PA-10002581,Sales,322.192,,,,
Xerox 1951,OFF-PA-10002581,Profit/ (Loss),100.885,,,,
Xerox 1951,OFF-PA-10002581,% Profit/ (Loss),0.313120748,,,,
Avery Durable Binders,All,Quantity,,,,,
Avery Durable Binders,All,Discount,,,,,
Avery Durable Binders,All,Unit Price,,,,,
Avery Durable Binders,All,Cost,,,,,
Avery Durable Binders,All,Total Discount,,,,,
Avery Durable Binders,All,Gross Sales,,,,,
Avery Durable Binders,All,Sales,,,,,
Avery Durable Binders,All,Profit/ (Loss),,,,,
Avery Durable Binders,All,% Profit/ (Loss),,,,,
Avery Durable Binders,OFF-BI-10000546,Quantity,12,,,,
Avery Durable Binders,OFF-BI-10000546,Discount,3,,,,
Avery Durable Binders,OFF-BI-10000546,Unit Price,3.576,,,,
Avery Durable Binders,OFF-BI-10000546,Cost,15.2256,,,,
Avery Durable Binders,OFF-BI-10000546,Total Discount,36,,,,
Avery Durable Binders,OFF-BI-10000546,Gross Sales,42.912,,,,
Avery Durable Binders,OFF-BI-10000546,Sales,6.912,,,,
Avery Durable Binders,OFF-BI-10000546,Profit/ (Loss),-8.3136,,,,
Avery Durable Binders,OFF-BI-10000546,% Profit/ (Loss),-1.202777778,,,,
Easy-staple paper,All,Quantity,,,,,
Easy-staple paper,All,Discount,,,,,
Easy-staple paper,All,Unit Price,,,,,
Easy-staple paper,All,Cost,,,,,
Easy-staple paper,All,Total Discount,,,,,
Easy-staple paper,All,Gross Sales,,,,,
Easy-staple paper,All,Sales,,,,,
Easy-staple paper,All,Profit/ (Loss),,,,,
Easy-staple paper,All,% Profit/ (Loss),,,,,
Easy-staple paper,OFF-PA-10001685,Quantity,9,,,,
Easy-staple paper,OFF-PA-10001685,Discount,0,,,,
Easy-staple paper,OFF-PA-10001685,Unit Price,8.112,,,,
Easy-staple paper,OFF-PA-10001685,Cost,46.3426,,,,
Easy-staple paper,OFF-PA-10001685,Total Discount,0,,,,
Easy-staple paper,OFF-PA-10001685,Gross Sales,73.008,,,,
Easy-staple paper,OFF-PA-10001685,Sales,73.008,,,,
Easy-staple paper,OFF-PA-10001685,Profit/ (Loss),26.6654,,,,
Easy-staple paper,OFF-PA-10001685,% Profit/ (Loss),0.365239426,,,,
Easy-staple paper,OFF-PA-10003127,Quantity,3,,,,
Easy-staple paper,OFF-PA-10003127,Discount,0,,,,
Easy-staple paper,OFF-PA-10003127,Unit Price,21.104,,,,
Easy-staple paper,OFF-PA-10003127,Cost,42.5356,,,,
Easy-staple paper,OFF-PA-10003127,Total Discount,0,,,,
Easy-staple paper,OFF-PA-10003127,Gross Sales,63.312,,,,
Easy-staple paper,OFF-PA-10003127,Sales,63.312,,,,
Easy-staple paper,OFF-PA-10003127,Profit/ (Loss),20.7764,,,,
Easy-staple paper,OFF-PA-10003127,% Profit/ (Loss),0.328158959,,,,
Eldon 100 Class Desk Accessories,All,Quantity,,,,,
Eldon 100 Class Desk Accessories,All,Discount,,,,,
Eldon 100 Class Desk Accessories,All,Unit Price,,,,,
Eldon 100 Class Desk Accessories,All,Cost,,,,,
Eldon 100 Class Desk Accessories,All,Total Discount,,,,,
Eldon 100 Class Desk Accessories,All,Gross Sales,,,,,
Eldon 100 Class Desk Accessories,All,Sales,,,,,
Eldon 100 Class Desk Accessories,All,Profit/ (Loss),,,,,
Eldon 100 Class Desk Accessories,All,% Profit/ (Loss),,,,,
Eldon 100 Class Desk Accessories,FUR-FU-10002505,Quantity,12,,,,
Eldon 100 Class Desk Accessories,FUR-FU-10002505,Discount,2,,,,
Eldon 100 Class Desk Accessories,FUR-FU-10002505,Unit Price,3.348,,,,
Eldon 100 Class Desk Accessories,FUR-FU-10002505,Cost,26.2992,,,,
Eldon 100 Class Desk Accessories,FUR-FU-10002505,Total Discount,24,,,,
Eldon 100 Class Desk Accessories,FUR-FU-10002505,Gross Sales,40.176,,,,
Eldon 100 Class Desk Accessories,FUR-FU-10002505,Sales,16.176,,,,
Eldon 100 Class Desk Accessories,FUR-FU-10002505,Profit/ (Loss),-10.1232,,,,
Eldon 100 Class Desk Accessories,FUR-FU-10002505,% Profit/ (Loss),-0.625816024,,,,
Logitech Gaming G510s - Keyboard,All,Quantity,,,,,
Logitech Gaming G510s - Keyboard,All,Discount,,,,,
Logitech Gaming G510s - Keyboard,All,Unit Price,,,,,
Logitech Gaming G510s - Keyboard,All,Cost,,,,,
Logitech Gaming G510s - Keyboard,All,Total Discount,,,,,
Logitech Gaming G510s - Keyboard,All,Gross Sales,,,,,
Logitech Gaming G510s - Keyboard,All,Sales,,,,,
Logitech Gaming G510s - Keyboard,All,Profit/ (Loss),,,,,
Logitech Gaming G510s - Keyboard,All,% Profit/ (Loss),,,,,
Logitech Gaming G510s - Keyboard,TEC-AC-10000844,Quantity,12,,,,
Logitech Gaming G510s - Keyboard,TEC-AC-10000844,Discount,0,,,,
Logitech Gaming G510s - Keyboard,TEC-AC-10000844,Unit Price,67.992,,,,
Logitech Gaming G510s - Keyboard,TEC-AC-10000844,Cost,652.3232,,,,
Logitech Gaming G510s - Keyboard,TEC-AC-10000844,Total Discount,0,,,,
Logitech Gaming G510s - Keyboard,TEC-AC-10000844,Gross Sales,815.904,,,,
Logitech Gaming G510s - Keyboard,TEC-AC-10000844,Sales,815.904,,,,
Logitech Gaming G510s - Keyboard,TEC-AC-10000844,Profit/ (Loss),163.5808,,,,
Logitech Gaming G510s - Keyboard,TEC-AC-10000844,% Profit/ (Loss),0.200490254,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",All,Quantity,,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",All,Discount,,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",All,Unit Price,,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",All,Cost,,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",All,Total Discount,,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",All,Gross Sales,,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",All,Sales,,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",All,Profit/ (Loss),,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",All,% Profit/ (Loss),,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",TEC-AC-10004859,Quantity,11,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",TEC-AC-10004859,Discount,0,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",TEC-AC-10004859,Unit Price,13.984,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",TEC-AC-10004859,Cost,115.168,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",TEC-AC-10004859,Total Discount,0,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",TEC-AC-10004859,Gross Sales,153.824,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",TEC-AC-10004859,Sales,153.824,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",TEC-AC-10004859,Profit/ (Loss),38.656,,,,
"Maxell Pro 80 Minute CD-R, 10/Pack",TEC-AC-10004859,% Profit/ (Loss),0.251300187,,,,
Avery File Folder Labels,All,Quantity,,,,,
Avery File Folder Labels,All,Discount,,,,,
Avery File Folder Labels,All,Unit Price,,,,,
Avery File Folder Labels,All,Cost,,,,,
Avery File Folder Labels,All,Total Discount,,,,,
Avery File Folder Labels,All,Gross Sales,,,,,
Avery File Folder Labels,All,Sales,,,,,
Avery File Folder Labels,All,Profit/ (Loss),,,,,
Avery File Folder Labels,All,% Profit/ (Loss),,,,,
Avery File Folder Labels,OFF-LA-10001613,Quantity,10,,,,
Avery File Folder Labels,OFF-LA-10001613,Discount,0,,,,
Avery File Folder Labels,OFF-LA-10001613,Unit Price,2.304,,,,
Avery File Folder Labels,OFF-LA-10001613,Cost,14.288,,,,
Avery File Folder Labels,OFF-LA-10001613,Total Discount,0,,,,
Avery File Folder Labels,OFF-LA-10001613,Gross Sales,23.04,,,,
Avery File Folder Labels,OFF-LA-10001613,Sales,23.04,,,,
Avery File Folder Labels,OFF-LA-10001613,Profit/ (Loss),8.752,,,,
Avery File Folder Labels,OFF-LA-10001613,% Profit/ (Loss),0.379861111,,,,
"Global High-Back Leather Tilter, Burgundy",All,Quantity,,,,,
"Global High-Back Leather Tilter, Burgundy",All,Discount,,,,,
"Global High-Back Leather Tilter, Burgundy",All,Unit Price,,,,,
"Global High-Back Leather Tilter, Burgundy",All,Cost,,,,,
"Global High-Back Leather Tilter, Burgundy",All,Total Discount,,,,,
"Global High-Back Leather Tilter, Burgundy",All,Gross Sales,,,,,
"Global High-Back Leather Tilter, Burgundy",All,Sales,,,,,
"Global High-Back Leather Tilter, Burgundy",All,Profit/ (Loss),,,,,
"Global High-Back Leather Tilter, Burgundy",All,% Profit/ (Loss),,,,,
"Global High-Back Leather Tilter, Burgundy",FUR-CH-10002880,Quantity,10,,,,
"Global High-Back Leather Tilter, Burgundy",FUR-CH-10002880,Discount,0,,,,
"Global High-Back Leather Tilter, Burgundy",FUR-CH-10002880,Unit Price,86.093,,,,
"Global High-Back Leather Tilter, Burgundy",FUR-CH-10002880,Cost,1094.011,,,,
"Global High-Back Leather Tilter, Burgundy",FUR-CH-10002880,Total Discount,0,,,,
"Global High-Back Leather Tilter, Burgundy",FUR-CH-10002880,Gross Sales,860.93,,,,
"Global High-Back Leather Tilter, Burgundy",FUR-CH-10002880,Sales,860.93,,,,
"Global High-Back Leather Tilter, Burgundy",FUR-CH-10002880,Profit/ (Loss),-233.081,,,,
"Global High-Back Leather Tilter, Burgundy",FUR-CH-10002880,% Profit/ (Loss),-0.270731651,,,,
"Performers Binder/Pad Holder, Black",All,Quantity,,,,,
"Performers Binder/Pad Holder, Black",All,Discount,,,,,
"Performers Binder/Pad Holder, Black",All,Unit Price,,,,,
"Performers Binder/Pad Holder, Black",All,Cost,,,,,
"Performers Binder/Pad Holder, Black",All,Total Discount,,,,,
"Performers Binder/Pad Holder, Black",All,Gross Sales,,,,,
"Performers Binder/Pad Holder, Black",All,Sales,,,,,
"Performers Binder/Pad Holder, Black",All,Profit/ (Loss),,,,,
"Performers Binder/Pad Holder, Black",All,% Profit/ (Loss),,,,,
"Performers Binder/Pad Holder, Black",OFF-BI-10002854,Quantity,10,,,,
"Performers Binder/Pad Holder, Black",OFF-BI-10002854,Discount,2,,,,
"Performers Binder/Pad Holder, Black",OFF-BI-10002854,Unit Price,7.606,,,,
"Performers Binder/Pad Holder, Black",OFF-BI-10002854,Cost,138.55,,,,
"Performers Binder/Pad Holder, Black",OFF-BI-10002854,Total Discount,20,,,,
"Performers Binder/Pad Holder, Black",OFF-BI-10002854,Gross Sales,76.06,,,,
"Performers Binder/Pad Holder, Black",OFF-BI-10002854,Sales,56.06,,,,
"Performers Binder/Pad Holder, Black",OFF-BI-10002854,Profit/ (Loss),-82.49,,,,
"Performers Binder/Pad Holder, Black",OFF-BI-10002854,% Profit/ (Loss),-1.471459151,,,,
Staple-based wall hangings,All,Quantity,,,,,
Staple-based wall hangings,All,Discount,,,,,
