Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Cayman Islands,Americas,640,973.83,15,22.82,4,2,3.04,0,0,0
United Republic of Tanzania,Africa,609,1.02,100,0.17,0,21,0.04,0,0,0
Saint Kitts and Nevis,Americas,573,1077.23,19,35.72,8,3,5.64,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Brunei Darussalam,Western Pacific,333,76.12,24,5.49,0,3,0.69,0,0,0
Dominica,Americas,209,290.31,3,4.17,0,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,190,330.11,2,3.47,0,2,3.47,0,0,0
Grenada,Americas,165,146.64,1,0.89,0,1,0.89,0,0,0
New Caledonia,Western Pacific,133,46.59,2,0.7,0,0,0,0,0,0
Anguilla,Americas,113,753.23,0,0,0,0,0,0,0,0
Greenland,Europe,109,192,26,45.8,17,0,0,0,0,0
Falkland Islands (Malvinas),Americas,60,1722.65,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,28,483.18,2,34.51,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,21,420.08,0,0,0,1,20,0,0,0
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
